"filename", "language", "XML", "C#", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Views\User\RegisterPage.xaml.cs", "C#", 0, 14, 0, 0, 0, 2, 16
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\bin\Debug\netstandard2.0\Diabeticare.deps.json", "JSON", 0, 0, 926, 0, 0, 0, 926
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\.NETStandard,Version=v2.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\App.xaml.g.cs", "C#", 0, 10, 0, 0, 9, 6, 25
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\AppShell.xaml.g.cs", "C#", 0, 10, 0, 0, 9, 6, 25
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\Diabeticare.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 10, 5, 24
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\Diabeticare.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 3, 0, 1, 4
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\LoginShell.xaml.g.cs", "C#", 0, 10, 0, 0, 9, 6, 25
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\Views\DefaultPage.xaml.g.cs", "C#", 0, 10, 0, 0, 9, 6, 25
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\Views\Diet\AddCarbDataPage.xaml.g.cs", "C#", 0, 10, 0, 0, 9, 6, 25
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\Views\Diet\CarbEntriesPage.xaml.g.cs", "C#", 0, 10, 0, 0, 9, 6, 25
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\Views\Diet\CarbEntryPage.xaml.g.cs", "C#", 0, 22, 0, 0, 9, 10, 41
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\Views\Diet\CarbStatisticsPage.xaml.g.cs", "C#", 0, 37, 0, 0, 9, 15, 61
